 1.  시·군별  세 대 및 인 구,,,,,,,,,,
2021.12.31.,,,,,,,,,,"(단위 : 세대, 명)"
구분,총인구,,,세  대,내국인,,,등록외국인,,
,계,남,여,,계,남,여,계,남,여
경기도," 13,925,862 "," 7,038,296 "," 6,887,566 "," 5,841,995 "," 13,565,450 "," 6,827,298 "," 6,738,152 "," 360,412 "," 210,998 "," 149,414 "
남부계," 10,332,513 "," 5,240,522 "," 5,091,991 "," 4,313,619 "," 10,029,561 "," 5,065,334 "," 4,964,227 "," 302,952 "," 175,188 "," 127,764 "
20개시," 10,209,974 "," 5,179,071 "," 5,030,903 "," 4,254,525 "," 9,908,331 "," 5,004,488 "," 4,903,843 "," 301,643 "," 174,583 "," 127,060 "
수원시,"1,216,965 ","612,695 ","604,270 ","517,822 ","1,183,714 ","595,933 ","587,781 ","33,251 ","16,762 ","16,489 "
  -장안구,"280,100 ","141,000 ","139,100 ","118,432 ","273,835 ","137,861 ","135,974 ","6,265 ","3,139 ","3,126 "
  -권선구,"372,772 ","188,133 ","184,639 ","157,041 ","364,136 ","183,925 ","180,211 ","8,636 ","4,208 ","4,428 "
  -팔달구,"193,866 ","97,983 ","95,883 ","91,278 ","182,321 ","91,926 ","90,395 ","11,545 ","6,057 ","5,488 "
  -영통구,"370,227 ","185,579 ","184,648 ","151,071 ","363,422 ","182,221 ","181,201 ","6,805 ","3,358 ","3,447 "
용인시,"1,093,665 ","543,579 ","550,086 ","429,492 ","1,077,508 ","534,459 ","543,049 ","16,157 ","9,120 ","7,037 "
  -처인구,"269,358 ","139,433 ","129,925 ","115,048 ","260,198 ","133,503 ","126,695 ","9,160 ","5,930 ","3,230 "
  -기흥구,"445,924 ","220,041 ","225,883 ","173,844 ","441,742 ","217,999 ","223,743 ","4,182 ","2,042 ","2,140 "
  -수지구,"378,383 ","184,105 ","194,278 ","140,600 ","375,568 ","182,957 ","192,611 ","2,815 ","1,148 ","1,667 "
성남시,"945,037 ","467,875 ","477,162 ","409,320 ","930,948 ","461,131 ","469,817 ","14,089 ","6,744 ","7,345 "
  -수정구,"244,892 ","123,949 ","120,943 ","114,620 ","235,988 ","119,517 ","116,471 ","8,904 ","4,432 ","4,472 "
