번호,안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치연도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
1,1456,방범용,가로변,보광그린빌라남동측삼거리,울산광역시 중구 산전5길27,울산광역시 중구 동동 114-3,35.5778357,129.3484116,양방향,Y,N,N,,2021,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
2,1457,방범용,가로변,화성전기서측삼거리,,울산광역시 중구 동동 121-1,35.57795888,129.3494836,양방향,Y,N,N,,2021,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
3,1458,방범용,가로변,한양빌라인근,울산광역시 중구 산전길107-3,울산광역시 중구 동동 133-4,35.57754783,129.3494925,양방향,Y,N,N,,2021,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
4,1459,방범용,가로변,산전교서측사거리,,울산광역시 중구 동동 830-111,35.57729432,129.3501784,양방향,Y,N,N,,2021,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
5,3063,약자보호,가로변,백련과학유치원,울산광역시 중구 성안로215,울산광역시 중구 성안동 383-15,35.57914421,129.3188873,양방향,Y,N,N,,2015,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
6,3052,약자보호,가로변,가나몬테소리,울산광역시 중구 도화골4길69,울산광역시 중구 복산동 259-5,35.56564693,129.3296362,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
7,3116,약자보호,가로변,옥성초진입로,울산광역시 중구 옥교11길41,울산광역시 중구 학성동 189-14,35.55296887,129.3355006,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
8,3060,약자보호,가로변,함월초구역전시장입구,울산광역시 중구 학성1길25,울산광역시 중구 복산동 504,35.55901093,129.3291914,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
9,3013,약자보호,가로변,새울산다운유치원인근,울산광역시 중구 다운5길40,울산광역시 중구 다운동 765-2,35.56492694,129.2668323,양방향,Y,N,N,,2018,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
10,3074,약자보호,가로변,성안초,울산광역시 중구 함월19길19,울산광역시 중구 성안동 793-9,35.57725408,129.3120137,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
11,3066,약자보호,가로변,마루공원앞백양초2,울산광역시 중구 함월로143,울산광역시 중구 성안동 494-5,35.5758124,129.3203759,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
12,3111,약자보호,가로변,우리들편의점앞,울산광역시 중구 옥교3길106,울산광역시 중구 학성동 468-14,35.55326478,129.3321554,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
13,3102,약자보호,가로변,연희빌앞명정초,울산광역시 중구 신기9길1,울산광역시 중구 태화동 430-6,35.5516569,129.2925449,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
14,3101,약자보호,가로변,태화초미성주택,,울산광역시 중구 유곡동 117-3,35.55779093,129.3051358,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
15,3081,약자보호,가로변,약사동행정복지센터앞,울산광역시 중구 평산4길38,울산광역시 중구 약사동 590-13,35.57043565,129.3372806,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
16,3080,약자보호,가로변,평산초탱자나무식당앞,,울산광역시 중구 약사동 623-7,35.56853452,129.3403648,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
17,3065,약자보호,가로변,마루공원앞백양초1,울산광역시 중구 함월로143,울산광역시 중구 성안동 494-5,35.57587715,129.3203759,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
18,3064,약자보호,가로변,공주마을3차APT앞사거리,울산광역시 중구 함월17길51,울산광역시 중구 성안동 799-1,35.57730571,129.3112947,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
19,3034,약자보호,가로변,병영빌라앞삼거리,울산광역시 중구 병영성길60,울산광역시 중구 서동 426-2,35.5740755,129.343684,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
20,3082,약자보호,가로변,약사초,울산광역시 중구 단장2길19,울산광역시 중구 복산동 183-10,35.56794319,129.3338884,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
