번호,안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치연도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
1,16794,방범용,가로변,버스정류장 앞,-,덕목리 1213-3,36.9535,126.9709,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
2,16801,방범용,가로변,동네종합설비 앞,-,서정동 산76-2,37.0736,127.0479,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
3,16806,방범용,가로변,편의점 앞,-,서정동 595-7,37.074,127.0432,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
4,16815,방범용,가로변,행운빌 인근,-,가재동 593,37.0415,127.0854,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
5,16819,방범용,가로변,이뮬류 인근,-,도일동 20-4,37.0542,127.1231,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
6,16823,방범용,가로변,미성식품 인근 삼거리,-,칠괴동 산107,37.0283,127.0844,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
7,16832,방범용,가로변,지산동주민센터 사거리,-,지산동 988-27,37.0775,127.0577,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
8,16836,방범용,가로변,파크힐 사거리,-,지산동 988-28,37.0774,127.0585,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
9,16853,방범용,가로변,지산모터스 인근,-,지산동 341-5,37.0763,127.0847,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
10,16860,방범용,가로변,더프라임빌라 인근,-,신장동 679,37.0865,127.0454,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
11,16871,방범용,가로변,배다리공원 주차장 밑,죽백6로 20,죽백동 800,36.9994,127.1198,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
12,16878,방범용,가로변,공원입구(콩스타일 앞),-,동삭동 710,37.0076,127.0968,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
13,16978,방범용,가로변,북카페 삼거리,-,비전동 210-81,36.9939,127.109,양방향,N,N,N,CCTV,2020,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
14,16982,방범용,가로변,사거리 한전주,당거3길 25-2,당거리 436-3,36.9899,127.0048,양방향,N,N,N,CCTV,2020,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
15,16990,방범용,가로변,사거리 가로등 옆,-,숙성리 1003,37.0011,126.9911,양방향,N,N,N,CCTV,2020,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
16,17000,방범용,가로변,버스정류장 옆,-,근내리 산18-1,36.9801,127.0466,양방향,N,N,N,CCTV,2020,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
17,17004,방범용,가로변,삼거리 한전주,-,석봉리 269,36.9857,127.0462,양방향,N,N,N,CCTV,2020,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
18,17009,방범용,가로변,통복천 통행교량,-,통복동 473-3,36.993,127.0667,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
19,17013,방범용,가로변,통복천 통복사거리,-,신대동 2-3,36.9977,127.0807,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
20,17018,방범용,가로변,통복천 법원사거리,-,통복동 1-4,37.009,127.0995,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
21,17023,방범용,가로변,통복천 동삭2교,-,비전동 681-5,37.0031,127.0894,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
22,17031,방범용,가로변,통복천 통복5수문,-,동삭동 596,37.0155,127.1064,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
23,17042,방범용,가로변,지하보도 입구 앞,-,신장동 208-9,37.0818,127.0545,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
24,17130,방범용,가로변,비전2배수지 입구,-,비전동 839-11,36.9956,127.1094,양방향,N,N,N,CCTV,2020,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
25,17134,방범용,가로변,비전푸르지오 공원(108동 앞),-,용이동 698,36.9945,127.1223,양방향,N,N,N,CCTV,2020,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
26,17137,방범용,가로변,용이중학교 주변,-,용이동 525,36.9999,127.1474,양방향,N,N,N,CCTV,2020,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
27,17141,방범용,가로변,용이초 주변,-,용이동 503,37.0007,127.147,양방향,N,N,N,CCTV,2020,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
28,6103,방범용,가로변,MG새마을금고 서정리역시장지점 앞 (도로사거리),서정역로55번길 34,서정동 317-31,37.0581,127.0559,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
29,51,방범용,가로변,"세븐일레븐 평택서정금호점 앞, 지장초 어린이보호구역 도로 사거리",지장로 28,서정동 823-22,37.067,127.0581,양방향,N,N,N,CCTV,2016,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
30,52,방범용,가로변,바이투화장품 앞(세경아파트 진입구),특구로27번길 15,서정동 815-4,37.068,127.0623,양방향,N,N,N,CCTV,2015,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
31,6104,방범용,가로변,디자인광고 앞(복창초교 삼거리),서정로 131,서정동 560-5,37.0698,127.0496,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
