시군명,지방청명,경찰서명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
가평군,경기북부,가평경찰서,12420,경기도 가평군 가평읍 대곡리 229-1번지,경기도 가평군 가평읍 가화로 61,37.8255337017,127.5150219187
고양시,경기북부,일산서부경찰서,10226,경기도 고양시 일산서구 대화동 2325-1번지,경기도 고양시 일산서구 중앙로 1640,37.6799943538,126.7405146327
고양시,경기북부,일산동부경찰서,10363,경기도 고양시 일산동구 정발산동 725번지,경기도 고양시 일산동구 중앙로 1338,37.6649994179,126.7695346080
고양시,경기북부,고양경찰서,10503,경기도 고양시 덕양구 화정동 1008번지,경기도 고양시 덕양구 화중로 12,37.6287093385,126.8298175280
과천시,경기남부,과천경찰서,13807,경기도 과천시 중앙동 39번지,경기도 과천시 통영로 20,37.4293559122,126.9899721040
광명시,경기남부,광명경찰서,14240,경기도 광명시 철산동 418번지,경기도 광명시 디지털로 5,37.4741532562,126.8685776406
광주시,경기남부,광주경찰서,12749,경기도 광주시 탄벌동 541-2번지,경기도 광주시 포돌이로 135,37.4088245447,127.2394842428
구리시,경기북부,구리경찰서,11954,경기도 구리시 교문동 462-3번지,경기도 구리시 아차산로 359,37.5876463008,127.1284156744
군포시,경기남부,군포경찰서,15829,경기도 군포시 금정동 848번지,경기도 군포시 산본로324번길 16,37.3605258037,126.9360880311
김포시,경기남부,김포경찰서,10090,경기도 김포시 장기동 2083-7번지,경기도 김포시 태장로795번길 65,37.6375500171,126.6810691981
남양주시,경기북부,남양주북부경찰서,12067,경기도 남양주시 진접읍 연평리 66-5번지,경기도 남양주시 진접읍 진건오남로 1019,37.7099839662,127.1836584828
남양주시,경기북부,남양주남부경찰서,12284,경기도 남양주시 다산동 3020-15번지,경기도 남양주시 경춘로 532,37.6117424729,127.1720649150
동두천시,경기북부,동두천경찰서,11336,경기도 동두천시 상패동 47-6번지,경기도 동두천시 상패로 89,37.9101585423,127.0463147942
부천시,경기남부,부천원미경찰서,14549,경기도 부천시 중동 1105번지,경기도 부천시 조마루로311번길 84,37.5024645883,126.7773322693
부천시,경기남부,부천소사경찰서,14734,경기도 부천시 송내동 601번지,경기도 부천시 경인로160번길 70,37.4804053330,126.7723985920
부천시,경기남부,부천오정경찰서,14485,경기도 부천시 여월동 304번지,경기도 부천시 소사로 631,37.5145186176,126.8002882541
성남시,경기남부,성남중원경찰서,13200,경기도 성남시 중원구 상대원동 269-1번지,경기도 성남시 중원구 금빛로2번길 10,37.4426609108,127.1703737277
성남시,경기남부,분당경찰서,13557,경기도 성남시 분당구 정자동 160번지,경기도 성남시 분당구 정자일로 165,37.3652682739,127.1054719502
성남시,경기남부,성남수정경찰서,13110,경기도 성남시 수정구 태평동 6812번지,경기도 성남시 수정구 성남대로 1259,37.4423055372,127.1266485552
수원시,경기남부,수원남부경찰서,16528,경기도 수원시 영통구 매탄동 1196번지,경기도 수원시 영통구 매봉로 52,37.2721182151,127.0545027476
수원시,경기남부,경기도남부경찰청,16218,경기도 수원시 장안구 연무동 산11-2번지,경기도 수원시 장안구 창룡대로 223,37.2946989580,127.0336660983
수원시,경기남부,수원중부경찰서,16335,경기도 수원시 장안구 정자동 873-4번지,경기도 수원시 장안구 정자천로 199,37.2975410928,126.9969224332
수원시,경기남부,수원서부경찰서,16626,경기도 수원시 권선구 탑동 911번지,경기도 수원시 권선구 서부로 1673,37.2587369985,126.9722580508
시흥시,경기남부,시흥경찰서,15002,경기도 시흥시 장곡동 340번지,경기도 시흥시 황고개로 513,37.3768086582,126.7881062989
안산시,경기남부,안산상록경찰서,15585,경기도 안산시 상록구 사동 1586-4번지,경기도 안산시 상록구 차돌배기로 10,37.2997953628,126.8442672677
안산시,경기남부,안산단원경찰서,15335,경기도 안산시 단원구 고잔동 514번지,경기도 안산시 단원구 화랑로 373,37.3219499841,126.8295603289
안성시,경기남부,안성경찰서,17595,경기도 안성시 도기동 544-8번지,경기도 안성시 알미산로 140,37.0004900988,127.2496953806
안양시,경기남부,안양동안경찰서,14048,경기도 안양시 동안구 비산동 1105번지,경기도 안양시 동안구 동안로159번길 43,37.3912507706,126.9488607825
안양시,경기남부,안양만안경찰서,14091,경기도 안양시 만안구 안양동 578-8번지,경기도 안양시 만안구 냉천로 63,37.3873381265,126.9259803406
양주시,경기북부,양주경찰서,11435,경기도 양주시 회정동 84-7번지,경기도 양주시 평화로 1699,37.8408090670,127.0549001810
양평군,경기남부,양평경찰서,12555,경기도 양평군 양평읍 양근리 280번지,경기도 양평군 양평읍 양근강변길 42,37.4884861857,127.4901474957
여주시,경기남부,여주경찰서,12627,경기도 여주시 창동 155번지,경기도 여주시 세종로 50,37.2932054298,127.6355247485
연천군,경기북부,연천경찰서,11014,경기도 연천군 연천읍 차탄리 34-56번지,경기도 연천군 연천읍 연천로 239,38.0982867177,127.0737237027
오산시,경기남부,오산경찰서,18148,경기도 오산시 부산동 398-3번지,경기도 오산시 동부대로 596,37.1536305849,127.0822266731
용인시,경기남부,용인서부경찰서,16905,경기도 용인시 기흥구 보정동 1290번지,경기도 용인시 기흥구 용구대로2469번길 32,37.3096280498,127.1061691228
용인시,경기남부,용인동부경찰서,17019,경기도 용인시 처인구 삼가동 538번지,경기도 용인시 처인구 금학로 143,37.2415620313,127.1804291184
의왕시,경기남부,의왕경찰서,16074,경기도 의왕시 고천동 328-10번지,경기도 의왕시 시청로 96,37.3506780724,126.9681601215
의정부시,경기북부,의정부경찰서,11664,경기도 의정부시 의정부동 420번지,경기도 의정부시 호국로 1265,37.7445620554,127.0442628885
의정부시,경기북부,경기도북부경찰청,11763,경기도 의정부시 금오동 481번지,경기도 의정부시 금오로23번길 22-49,37.7574315212,127.0702833263
이천시,경기남부,이천경찰서,17379,경기도 이천시 중리동 350-1번지,경기도 이천시 부악로 32,37.2735965166,127.4347931289
파주시,경기북부,파주경찰서,10934,경기도 파주시 금릉동 427번지,경기도 파주시 쇠재로 140,37.7537188671,126.7787890024
평택시,경기남부,평택경찰서,17896,경기도 평택시 비전동 619-2번지,경기도 평택시 중앙로 67,36.9948660902,127.0909971527
포천시,경기북부,포천경찰서,11153,경기도 포천시 군내면 구읍리 729번지,경기도 포천시 군내면 호국로 1570,37.8937555812,127.2053021333
하남시,경기남부,하남경찰서,13024,경기도 하남시 하산곡동 594번지,경기도 하남시 검단로 27,37.5226699067,127.2246485753
화성시,경기남부,화성동탄경찰서,18487,경기도 화성시 오산동 962-1번지,경기도 화성시 동탄대로13길 70,37.1854269136,127.0936221036
화성시,경기남부,화성서부경찰서,18277,경기도 화성시 남양읍 신남리 76-1번지,경기도 화성시 남양읍 남양로 570,37.1913091343,126.8227288101

