시군명,관서명,지방청명,경찰서명,구분명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
가평군,조종,경기북부청,가평,파출소,12437,경기도 가평군 조종면 현리 267-5번지,경기도 가평군 조종면 현창로 43,37.81864658,127.3478688
가평군,상면,경기북부청,가평,파출소,12444,경기도 가평군 상면 연하리 171-31번지,경기도 가평군 상면 청군로 1101,37.80478901,127.3573425
가평군,청평,경기북부청,가평,파출소,12452,경기도 가평군 청평면 청평리 462-3번지,경기도 가평군 청평면 청평중앙로 33,37.73729849,127.4182254
가평군,읍내,경기북부청,가평,파출소,12419,경기도 가평군 가평읍 대곡리 213-4번지,경기도 가평군 가평읍 가화로 38,37.82334904,127.5161576
가평군,북면,경기북부청,가평,파출소,12403,경기도 가평군 북면 목동리 848번지,경기도 가평군 북면 화악산로 6,37.88561347,127.5499072
가평군,설악,경기북부청,가평,파출소,12467,경기도 가평군 설악면 신천리 434-4번지,경기도 가평군 설악면 신천중앙로 115,37.67763918,127.4906672
고양시,행신3,경기북부청,고양,파출소,10494,경기도 고양시 덕양구 행신동 931번지,경기도 고양시 덕양구 중앙로558번길 90,37.62669189,126.8387851
고양시,마두,경기북부청,일산동부,지구대,10422,경기도 고양시 일산동구 장항동 899번지,경기도 고양시 일산동구 노루목로 116,37.64996386,126.7785184
고양시,백석,경기북부청,일산동부,지구대,10447,경기도 고양시 일산동구 백석동 1338번지,경기도 고양시 일산동구 장백로 76,37.64399396,126.78521
고양시,풍사,경기북부청,일산동부,파출소,10306,경기도 고양시 일산동구 풍동 1271번지,경기도 고양시 일산동구 숲속마을로 54,37.66745891,126.7973484
고양시,탄현,경기북부청,일산서부,지구대,10244,경기도 고양시 일산서구 탄현동 1488번지,경기도 고양시 일산서구 현중로36번길 1,37.69409942,126.767875
고양시,주엽,경기북부청,일산서부,지구대,10386,경기도 고양시 일산서구 주엽동 70번지,경기도 고양시 일산서구 강성로 107,37.66990874,126.7634855
고양시,관산,경기북부청,고양,파출소,10286,경기도 고양시 덕양구 관산동 231-17번지,경기도 고양시 덕양구 통일로 782,37.6881521,126.8638412
고양시,신도,경기북부청,고양,파출소,10590,경기도 고양시 덕양구 삼송동 30-27번지,경기도 고양시 덕양구 신도길 6,37.65282982,126.8939481
고양시,가좌,경기북부청,일산서부,파출소,10208,경기도 고양시 일산서구 가좌동 134-7번지,경기도 고양시 일산서구 가좌로 24,37.69123588,126.7231566
고양시,화전,경기북부청,고양,파출소,10540,경기도 고양시 덕양구 화전동 544-19번지,경기도 고양시 덕양구 중앙로 219,37.60586,126.8659764
고양시,고양,경기북부청,고양,파출소,10275,경기도 고양시 덕양구 고양동 444-3번지,경기도 고양시 덕양구 벽제관로 3,37.70331968,126.9038871
고양시,행신,경기북부청,고양,지구대,10518,경기도 고양시 덕양구 행신동 991번지,경기도 고양시 덕양구 중앙로 541-18,37.62202053,126.835703
고양시,원당,경기북부청,고양,지구대,10465,경기도 고양시 덕양구 성사동 408-5번지,경기도 고양시 덕양구 호국로790번길 105,37.65421141,126.8415916
고양시,대화,경기북부청,일산서부,지구대,10368,경기도 고양시 일산서구 대화동 2036번지,경기도 고양시 일산서구 일산로 670,37.68271102,126.7545679
고양시,중산,경기북부청,일산동부,파출소,10333,경기도 고양시 일산동구 중산동 1573-5번지,경기도 고양시 일산동구 중산로 220,37.69151099,126.7804341
